Time,DroneID,X,Y,Z,Target position,Target Speed,Origin Lat,Origin Lon,Destination Lat,Destination Lon,Completed
270.00,FP000002,2266.11,0.00,-24476.71,"(2266.109, 0, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
270.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 30.48, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
270.00,FP000004,2581.61,60.96,-25805.45,"(2528.84, 60.96, -25715.69)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
270.00,FP000005,3078.32,60.96,-26650.24,"(2935.125, 60.96, -26406.72)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
270.00,FP000006,3690.23,91.44,-26107.49,"(3628.16, 91.44, -26001.92)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
270.00,FP000007,4325.14,60.96,-26987.35,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
280.00,FP000001,2951.24,60.96,-26397.30,"(3281.652, 60.96, -26204.33)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
280.00,FP000002,2248.84,60.96,-24486.79,"(1919.555, 60.96, -24679.1)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
280.00,FP000003,1330.02,60.96,-25023.33,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
280.00,FP000004,2480.25,60.96,-25633.04,"(2325.726, 60.96, -25370.17)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
280.00,FP000005,2976.94,60.96,-26477.83,"(2935.125, 60.96, -26406.72)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
280.00,FP000006,3588.86,91.44,-25935.08,"(3425.019, 91.44, -25656.41)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
280.00,FP000007,4152.44,60.96,-27088.23,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
290.00,FP000001,3123.94,60.96,-26296.44,"(3281.652, 60.96, -26204.33)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
290.00,FP000002,2076.13,60.96,-24587.65,"(1919.555, 60.96, -24679.1)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
290.00,FP000003,1502.73,60.96,-24922.49,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
290.00,FP000004,2378.90,60.96,-25460.61,"(2325.726, 60.96, -25370.17)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
290.00,FP000005,2875.57,60.96,-26305.43,"(2731.973, 60.96, -26061.21)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
290.00,FP000006,3487.50,91.44,-25762.68,"(3425.019, 91.44, -25656.41)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
