Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
11789.00,COLLISION_END,FP000111,FP000114,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
11789.00,COLLISION_END,FP000111,FP000119,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
11789.00,COLLISION_END,FP000100,FP000114,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
11789.00,COLLISION_END,FP000100,FP000106,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
11789.00,COLLISION_END,FP000100,FP000119,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
11789.00,COLLISION_END,FP000106,FP000115,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
11789.00,COLLISION_END,FP000106,FP000111,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
11789.00,COLLISION_END,FP000114,FP000115,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
11789.00,COLLISION_END,FP000115,FP000119,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
11790.00,COLLISION_END,FP000083,FP000097,40.00,30.00,"(4525.74,4.31,18989.35)","(4536.81,0.00,19027.54)",20.00,0.00
11790.00,COLLISION_END,FP000083,FP000092,40.00,30.00,"(4525.74,4.31,18989.35)","(4536.81,0.00,19027.54)",20.00,0.00
11793.00,COLLISION_END,FP000100,FP000111,37.33,30.00,"(10091.63,15.24,8130.60)","(10075.79,15.24,8096.79)",44.00,44.00
