OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-025306,O,US,NY,NEW YORK,40.726867,-73.983161,40 43 36.72N,073 58 59.38W,BLDG,1,83,102,N,1.0,A,N,2011AEA00471OE A,20,11209
36-000969,O,US,NY,NEW YORK,40.726944,-73.998333,40 43 37.00N,073 59 54.00W,BLDG,1,303,332,U,3.0,C,U,C,20,14152
36-000967,O,US,NY,NEW YORK,40.726944,-73.999444,40 43 37.00N,073 59 58.00W,BLDG,1,308,337,U,3.0,C,U,C,20,14152
36-197671,O,US,NY,BROOKLYN,40.727106,-73.960103,40 43 37.58N,073 57 36.37W,BLDG,1,464,477,N,4.0,D,N,2018AEA13730OE A,20,22266
36-001873,O,US,NY,NEW YORK,40.7275,-74.005278,40 43 39.00N,074 00 19.00W,BLDG,1,249,268,N,5.0,D,N,1994AEA00150OE C,20,14152
36-197678,O,US,NY,NEW YORK,40.727856,-74.009883,40 43 40.28N,074 00 35.58W,BLDG,1,245,252,R,4.0,D,N,2020AEA05751OE A,20,22144
36-002353,O,US,NY,NEW YORK,40.728611,-74.008056,40 43 43.00N,074 00 29.00W,TOWER,1,298,310,R,1.0,A,N,2002AEA02235OE C,20,3152
36-025310,O,US,NY,NEW YORK,40.729439,-73.998469,40 43 45.98N,073 59 54.49W,BLDG,1,85,113,N,1.0,A,N,2011AEA00481OE A,20,11209
36-000965,O,US,NY,NEW YORK,40.73,-73.993333,40 43 48.00N,073 59 36.00W,BLDG,1,375,407,U,3.0,C,U,C,20,14152
36-000966,O,US,NY,NEW YORK,40.73,-73.993889,40 43 48.00N,073 59 38.00W,BLDG,1,354,386,U,3.0,C,U,C,20,14152
36-230214,U,US,NY,NEW YORK,40.730247,-73.424169,40 43 48.89N,073 25 27.01W,BLDG,1,56,128,N,4.0,D,N,2023AEA02036OE A,20,24348
36-000970,O,US,NY,NEW YORK,40.730556,-73.991944,40 43 50.00N,073 59 31.00W,BLDG,1,281,320,U,3.0,C,U,C,20,14152
36-000964,O,US,NY,NEW YORK,40.731111,-73.991389,40 43 52.00N,073 59 29.00W,BLDG,1,228,272,U,3.0,C,U,C,20,14152
36-000959,O,US,NY,NEW YORK,40.733889,-73.988611,40 44 02.00N,073 59 19.00W,BLDG,1,477,515,U,3.0,C,U,C,20,14152
36-000960,O,US,NY,NEW YORK,40.734444,-73.991389,40 44 04.00N,073 59 29.00W,BLDG,1,278,320,U,3.0,C,U,C,20,14152
36-000963,O,US,NY,NEW YORK,40.734444,-73.994167,40 44 04.00N,073 59 39.00W,BLDG,1,304,338,U,3.0,C,U,C,20,14152
36-197597,U,US,NY,NEW YORK,40.734444,-73.861111,40 44 04.00N,073 51 40.00W,BLDG,1,70,87,N,4.0,D,N,2019AEA04822OE A,20,22117
36-178927,O,US,NY,NEW YORK,40.734906,-73.960944,40 44 05.66N,073 57 39.40W,BLDG,1,439,455,R,4.0,D,N,2019AEA12555OE A,20,21239
36-178758,O,US,NY,NEW YORK,40.735225,-73.960361,40 44 06.81N,073 57 37.30W,BLDG,1,343,355,R,4.0,D,N,2019AEA12551OE A,20,21188
36-226565,O,US,NY,NEW YORK,40.735319,-73.959442,40 44 07.15N,073 57 33.99W,BLDG,1,436,447,R,1.0,A,N,2022AEA15286OE A,20,24110
36-000957,O,US,NY,NEW YORK,40.735833,-73.985278,40 44 09.00N,073 59 07.00W,BLDG,1,221,250,U,3.0,C,U,C,20,14152
36-000961,O,US,NY,NEW YORK,40.735833,-73.993056,40 44 09.00N,073 59 35.00W,BLDG,1,230,267,U,3.0,C,U,C,20,14152
36-000958,O,US,NY,NEW YORK,40.736389,-73.988889,40 44 11.00N,073 59 20.00W,BLDG,1,310,349,U,3.0,C,U,C,20,14152
36-150627,O,US,NY,NEW YORK,40.736394,-73.959603,40 44 11.02N,073 57 34.57W,BLDG,1,426,445,R,4.0,D,N,2017AEA10027OE A,20,19084
36-178626,O,US,NY,NEW YORK,40.736628,-73.849069,40 44 11.86N,073 50 56.65W,BLDG,1,144,159,N,1.0,A,N,2019AEA09636OE A,20,21165
